Name,Address,Phone,Cuisines,Saturday Opening time,Saturday Closing time,Sunday Opening time,Sunday Closing time,Take Out
Macondo,"157 E Houston St New York City, NY 10002-1004",+1 212-473-9900,Latin;Spanish;Bar,11:00 AM,2:00 AM,11:00 AM,12:00 AM,No
Cafe Viand,"2130 Broadway New York City, NY 10023-1724",+1 212-877-2888,American;Cafe;Diner,6:00 AM,1:00 AM,6:00 AM,12:30 AM,Yes
Waldy's Wood Fired Pizza & Penne,"800 Sixth Avenue New York City, NY 10001-6345",+1 212-213-5042,Italian;Pizza;Vegetarian Friendly,11:00 AM,11:00 PM,11:00 AM,10:00 PM,Yes
Hua Ji Pork Chop Fast Food,"7 Allen St New York City, NY 10002-5327",+1 212-219-9876,Asian;Taiwanese,10:30 AM,9:00 PM,10:30 AM,9:00 PM,Yes
Subway,"873 7th Ave New York City, NY 10019-3830",+1 212-315-5488,Fast Food;American,8:00 AM,12:00 AM,8:00 AM,11:00 PM,Yes
Shanghai Asian Manor,"21 Mott St New York City, NY 10013-5032",+1 212-766-6311,Chinese;Asian;Vegetarian Friendly,11:00 AM,10:00 PM,11:00 AM,9:00 PM,Yes
Korilla,"23 3rd Ave New York City, NY 10003-5502",+1 646-823-9423,Asian;Korean,NaN,NaN,NaN,NaN,No
Coyote Ugly,"153 1st Ave New York City, NY 10003-2946",+1 212-477-4431,NaN,12:30 PM,4:00 AM,12:30 PM,4:00 AM,No
Ducks Eatery,"351 E 12th St New York City, NY 10003-7263",+1 212-432-3825,American;International;Gluten Free Options,5:00 PM,3:30 AM,11:00 AM,10:00 PM,No
Dirty Bird To Go,"204 W 14th St New York City, NY 10011-7221",+1 212-620-4836,American,11:30 AM,11:00 PM,11:30 AM,11:00 PM,Yes
Shake Shack,"366 Columbus Ave New York City, NY 10024-5109",+1 646-747-8770,American;Fast Food,10:30 AM,11:00 PM,10:30 AM,11:00 PM,Yes
China Blue,"135 Watts St New York City, NY 10013-1737",+1 212-431-0111,Chinese;Asian;Vegetarian Friendly,11:00 AM,11:00 PM,11:00 AM,11:00 PM,Yes
Eata Pita,"Grand Central Terminal Dining Concourse New York City, NY",+1 212-297-2500,Fast Food;Mediterranean;Middle Eastern,NaN,NaN,NaN,NaN,Yes
Gotham West Market,"600 11th Ave New York City, NY 10036-2102",+1 212-582-7940,American;Fast Food;Vegetarian Friendly,7:30 AM,12:00 AM,7:30 AM,11:00 PM,Yes
