Name,Address,Cuisines,Take_Out,Phone,Saturday Opening time,Saturday Closing time,Sunday Opening time,Sunday Closing time
Shanghai asian manor,"21 Mott St New York City, Ny 10013-5032",Chinese; Vegetarian Friendly; Asian,Yes,+1 212-766-6311,11:00 AM,10:00 PM,11:00 AM,09:00 PM
Shake shack,"366 Columbus Ave New York City, Ny 10024-5109",American; Fast Food,Yes,+1 646-747-8770,10:30 AM,11:00 PM,10:30 AM,11:00 PM
Blue maiz,"606 8Th Ave New York City, Ny 10018-3008",Fast Food; Mexican; Latin,Yes,+1 212-704-2106,11:00 AM,10:00 PM,11:00 AM,09:00 PM
Barn joo 35,"34 W 35Th St New York City, Ny 10001-2256",Korean; Gastropub; Asian,Yes,+1 212-564-4430,12:00 PM,02:00 AM,12:00 PM,11:00 PM
Southgate bar & restaurant,"154 Central Park S New York City, Ny 10019-1510",Gluten Free Options; American,No,+1 212-484-5120,07:00 AM,10:30 PM,07:00 AM,10:30 PM
Friedman's,"132 W 31St St New York City, Ny 10001-3406",Vegan Options; Vegetarian Friendly; American,Yes,+1 212-971-9400,08:30 AM,10:00 PM,08:30 AM,09:00 PM
Boulud sud,"20 W 64Th St New York City, Ny 10023-7129",Vegan Options; Vegetarian Friendly; Mediterranean,No,+1 212-595-1313,05:00 PM,11:00 PM,05:00 PM,10:00 PM
Rosa mexicano - union square,"9 E 18Th St New York City, Ny 10003-1903",Central American; Mexican; Latin,Yes,+1 212-533-3350,11:30 AM,11:30 PM,11:30 AM,04:00 PM
Benoit new york,"60 W 55Th St New York City, Ny 10019-5308",Vegetarian Friendly; Contemporary; French,Yes,+1 646-943-7373,11:45 AM,11:00 PM,11:45 AM,11:00 PM
The original soupman,"259A W 55Th St New York City, Ny 10019-5202",Soups; Fast Food; American,Yes,+1 212-956-0900,11:00 AM,08:00 PM,11:00 AM,07:00 PM
Limani,"45 Rockefeller Plz New York City, Ny 10111-0100",Seafood; Mediterranean; Greek,No,+1 212-858-9200,12:00 PM,12:00 AM,12:00 PM,10:00 PM
Kung fu tea,"73 Chrystie St New York City, Ny 10002-5034",Coffee & Tea; Juice Bars & Smoothies; Bubble Tea,Yes,+1 646-288-4936,11:00 AM,10:00 PM,11:00 AM,10:00 PM
Battery gardens,"Battery Park New York City, Ny 10004",Vegan Options; Vegetarian Friendly; American,No,+1 212-809-5508,11:30 AM,12:00 AM,11:30 AM,12:00 AM
Upland,"345 Park Ave S New York City, Ny 10010-1707",Vegan Options; Vegetarian Friendly; American,No,+1 212-686-1006,05:00 PM,11:00 PM,05:00 PM,10:00 PM
Ristorante morini,"1167 Madison Ave New York City, Ny 10028-0409",Seafood; Italian; Vegetarian Friendly,Yes,+1 212-249-0444,04:00 PM,10:30 PM,11:30 AM,09:30 PM
Perrine,"2 E 61St St New York City, Ny 10065-8401",Fusion; Vegetarian Friendly; French,No,+1 212-940-8195,07:00 AM,10:30 PM,07:00 AM,10:30 PM
